AllenCahn - utils.log_helper - INFO - In epoch 1, the energy is 32.264488220214844
AllenCahn - utils.log_helper - INFO - In epoch 2, the energy is 29.848623275756836
AllenCahn - utils.log_helper - INFO - In epoch 3, the energy is 29.067167282104492
AllenCahn - utils.log_helper - INFO - In epoch 4, the energy is 28.66221809387207
AllenCahn - utils.log_helper - INFO - In epoch 5, the energy is 28.43830108642578
AllenCahn - utils.log_helper - INFO - In epoch 6, the energy is 28.30278778076172
AllenCahn - utils.log_helper - INFO - In epoch 7, the energy is 28.216474533081055
AllenCahn - utils.log_helper - INFO - In epoch 8, the energy is 28.161882400512695
AllenCahn - utils.log_helper - INFO - In epoch 9, the energy is 28.121511459350586
AllenCahn - utils.log_helper - INFO - In epoch 10, the energy is 28.094501495361328
AllenCahn - utils.log_helper - INFO - In epoch 11, the energy is 28.075273513793945
AllenCahn - utils.log_helper - INFO - In epoch 12, the energy is 28.060081481933594
AllenCahn - utils.log_helper - INFO - In epoch 13, the energy is 28.049713134765625
AllenCahn - utils.log_helper - INFO - In epoch 14, the energy is 28.042078018188477
AllenCahn - utils.log_helper - INFO - In epoch 15, the energy is 28.036287307739258
AllenCahn - utils.log_helper - INFO - In epoch 16, the energy is 28.03223419189453
AllenCahn - utils.log_helper - INFO - In epoch 17, the energy is 28.029329299926758
AllenCahn - utils.log_helper - INFO - In epoch 18, the energy is 28.02676773071289
AllenCahn - utils.log_helper - INFO - In epoch 19, the energy is 28.025146484375
AllenCahn - utils.log_helper - INFO - In epoch 20, the energy is 28.021686553955078
AllenCahn - utils.log_helper - INFO - In epoch 21, the energy is 28.020620346069336
AllenCahn - utils.log_helper - INFO - In epoch 22, the energy is 28.019824981689453
AllenCahn - utils.log_helper - INFO - In epoch 23, the energy is 28.019268035888672
AllenCahn - utils.log_helper - INFO - In epoch 24, the energy is 28.018802642822266
AllenCahn - utils.log_helper - INFO - In epoch 25, the energy is 28.018667221069336
AllenCahn - utils.log_helper - INFO - In epoch 26, the energy is 28.018360137939453
AllenCahn - utils.log_helper - INFO - In epoch 27, the energy is 28.018186569213867
AllenCahn - utils.log_helper - INFO - In epoch 28, the energy is 28.018056869506836
AllenCahn - utils.log_helper - INFO - In epoch 29, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 30, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 31, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 32, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 33, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 34, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 35, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 36, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 37, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 38, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 39, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 40, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 41, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 42, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 43, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 44, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 45, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 46, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 47, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 48, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 49, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 50, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 51, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 52, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 53, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 54, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 55, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 56, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 57, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 58, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 59, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 60, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 61, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 62, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 63, the energy is 28.018014907836914
